Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
35,25,2022-12-28,30-280,BRK,@,ATL,W (+1),1,37:23:00,11,22,0.5,5,11,0.455,1,1,1,2,3,5,8,0,0,2,4,28,21.3,7
36,26,2022-12-31,30-283,BRK,@,CHO,W (+17),1,33:14:00,11,19,0.579,4,9,0.444,2,2,1,0,6,6,4,1,0,2,2,28,21.9,11
37,27,2023-01-02,30-285,BRK,,SAS,W (+36),1,28:35:00,11,14,0.786,4,5,0.8,1,2,0.5,2,6,8,0,1,1,1,2,27,24.3,28
38,28,2023-01-04,30-287,BRK,@,CHI,L (-9),1,37:54:00,10,24,0.417,1,8,0.125,4,4,1,1,3,4,8,2,1,2,1,25,19.7,-14
39,29,2023-01-06,30-289,BRK,@,NOP,W (+6),1,38:18:00,7,22,0.318,3,10,0.3,2,2,1,2,3,5,6,0,1,2,3,19,10.4,-9
40,30,2023-01-08,30-291,BRK,@,MIA,W (+1),1,40:15:00,10,21,0.476,6,15,0.4,3,4,0.75,1,0,1,6,1,0,1,1,29,22.4,7
41,31,2023-01-12,30-295,BRK,,BOS,L (-11),1,38:01:00,9,24,0.375,3,11,0.273,3,4,0.75,0,2,2,6,1,1,2,4,24,13.3,-11
42,32,2023-01-15,30-298,BRK,,OKC,L (-10),1,38:08:00,7,20,0.35,1,7,0.143,0,0,,3,3,6,6,1,1,3,2,15,8.9,4
43,,2023-01-17,30-300,BRK,@,SAS,L (-8),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
44,33,2023-01-19,30-302,BRK,@,PHO,L (-5),1,38:31:00,11,27,0.407,2,8,0.25,6,6,1,0,7,7,7,4,2,1,4,30,25.3,-2
45,34,2023-01-20,30-303,BRK,@,UTA,W (+11),1,39:00:00,18,29,0.621,8,15,0.533,4,6,0.667,3,8,11,6,4,0,1,3,48,44.6,23
46,35,2023-01-22,30-305,BRK,@,GSW,W (+4),1,40:45:00,12,22,0.545,5,7,0.714,9,9,1,2,5,7,9,0,0,1,4,38,34,22
47,36,2023-01-25,30-308,BRK,@,PHI,L (-4),1,38:02:00,9,15,0.6,2,5,0.4,10,11,0.909,0,2,2,10,2,0,4,2,30,27.5,-6
48,37,2023-01-26,30-309,BRK,,DET,L (-8),1,38:04:00,14,27,0.519,6,12,0.5,6,7,0.857,0,5,5,6,2,2,4,2,40,30.6,-4
